OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40359,110010036002,97.49534689,85.78218849,83.29755471,78.18044575,77.91835529,95.54595754,77.4037357,82.78231509,80.85912831,98.01795546,75.07514456,74.32813948,94.93591235
40360,110010036003,99.39763135,23.11258935,36.00759554,48.21473192,48.00613051,7.041184892,36.22538181,34.42162904,28.50099173,2.037387527,52.7250948,52.70716578,2.330390091
40361,110010037001,98.82753519,68.50463155,61.118786,59.63811485,59.61729477,72.24867153,69.37497285,62.16164808,61.74676344,78.11312862,59.98705247,59.95906729,74.82910983
40362,110010037002,90.23604965,95.94070345,93.54968238,91.87306631,91.61463067,98.84020372,81.09886747,90.84083739,87.37031595,99.69997339,88.86596943,87.43510425,95.11449985
40363,110010037003,99.53969749,70.54543323,67.73498623,63.77959488,63.72232083,84.55956529,72.89581635,69.97835918,67.8945767,89.88023556,63.12485364,63.02787859,88.15650202
40364,110010038001,97.80354139,12.52903568,8.105458127,17.81447043,17.70275003,0.972095419,25.72360863,13.81519913,13.88581392,0.209657911,28.80143446,28.29682607,0.416055922
40365,110010038002,97.7107908,6.590949847,10.41079821,21.4258495,21.20637144,0.872920373,28.03464863,15.1886863,14.87165261,0.264247586,32.53035025,32.04857478,0.591202737
40366,110010038003,95.54913595,84.35270897,80.2145251,74.91649201,74.69830783,94.62687885,78.84594079,80.15593112,76.32643569,97.55859681,72.11795122,71.62889166,91.21924853
40367,110010039001,16.24488857,4.531491767,12.46041784,23.93671879,23.71452248,1.034596829,25.26399652,17.90579962,16.83028275,0.342804671,35.03281822,34.60213772,63.67139863
40368,110010039002,78.7646113,5.601607374,15.63081857,28.1595929,27.88918245,2.644928073,21.11882499,20.80204156,21.25149187,0.467710072,38.96826214,38.5189262,10.21636666
40369,110010039003,94.56706629,6.762573665,13.23988753,25.02628363,24.82744059,1.208827149,24.39678601,18.51922015,18.05966273,0.310059037,36.08178032,35.64441535,1.830640143
40370,110010039004,89.38957084,4.509712967,13.80403182,25.80673592,25.59566991,2.22423666,21.55844595,19.16560095,19.55421768,0.356696057,36.79855647,36.39446627,4.168503339
40371,110010040011,94.30107641,0.627139067,4.257281156,11.09269756,11.01204738,0.405569504,20.37248313,10.59886083,12.16028839,0.150218781,20.60196274,20.11809822,0.698902282
40372,110010040012,88.97121747,4.019984474,10.51945891,21.99340929,21.80370573,0.611979461,24.34401561,16.29500164,18.41620178,0.31617977,33.11468893,32.6725512,3.519729672
40373,110010040013,84.78969008,2.299076398,6.009366399,14.54159671,14.4820105,0.477742687,19.12849993,12.62440962,14.82824134,0.204634684,25.06125615,24.5793207,3.496512529
40374,110010040021,96.19187241,7.025586556,16.30841281,30.07553091,29.80017816,1.48341997,27.12771967,20.91966105,21.76879949,0.469323101,40.56831728,40.17585732,1.77741351
40375,110010040022,98.35244195,0.421015433,2.087597967,6.017591873,6.078967683,0.16984832,22.75992385,6.946027386,8.571474031,0.074660022,13.08605503,12.66500655,0.084973231
40376,110010040023,90.6337513,12.45764348,18.40949592,32.56566976,32.25842699,1.310103468,28.11452123,22.05220374,24.28988715,0.549992278,42.49536117,42.15565582,5.211682475
40377,110010041001,86.50861167,1.806606577,6.920288778,17.90765851,17.79123148,0.57516137,23.94371687,13.91102548,17.0429582,0.236933389,28.90945718,28.42595634,3.618040048
40378,110010041002,77.53799551,15.78537718,24.41731234,40.2244481,39.8071279,2.139420841,25.9384772,28.23943669,34.02481911,1.064621977,47.83819308,47.6524544,16.28472044
40379,110010041003,73.54057974,8.145924981,18.74020628,34.32054703,33.97652469,0.506447142,23.17788255,23.58668599,31.67636284,0.623546257,43.81263469,43.52341259,15.55347646
40380,110010042011,98.51783467,7.251322939,14.14597188,28.17257683,27.90446787,0.81760319,30.69383355,18.25534389,18.58656652,0.354267823,39.04489358,38.5631426,0.676169566
40381,110010042012,97.83206589,0.043591134,0.825305507,2.769769874,2.806280243,0.082846592,23.05357649,4.05853348,5.049551174,0.029551281,6.54311014,6.254107861,0.048968917
40382,110010042021,58.11350738,3.01483943,5.455259744,15.15824257,15.08059752,0.308286685,25.64705195,11.2960007,14.13088654,0.145181226,25.82034537,25.30510105,15.4887254
40383,110010042022,59.30530385,6.530289436,11.10556076,24.75211379,24.53132112,0.731159235,27.65843902,16.8165441,19.27477207,0.308104865,35.9062677,35.41170896,18.97102949
40384,110010043001,99.45674123,21.81917108,29.0162738,43.6365375,43.27363377,2.275604887,34.35461154,29.07230246,27.50472277,0.89733148,49.99019389,49.8658894,1.288641676
40385,110010043002,99.2033678,2.434462072,5.045900381,13.34029409,13.26578557,0.303309685,28.90183919,9.835847702,10.2465798,0.123264018,23.60833811,23.06621917,0.114568412
40386,110010044001,99.87897916,9.179113149,1.428572321,4.45851623,4.470448959,0.12787091,26.58866066,4.919616755,3.450354144,0.020005412,10.16974918,9.770032107,0.005121393
40387,110010044002,99.89347723,4.60837485,5.887473606,15.08473343,15.01619706,0.400617322,30.62856749,9.878619364,8.041898425,0.112284684,25.74937806,25.21191748,0.034099531
40388,110010046001,97.21091372,81.83767589,74.05335268,67.9332994,67.79770439,93.23258097,,78.62947226,75.88980243,92.72658822,66.32717979,66.14682,87.86278729
